element_id,part_num,color_id,design_id
611702,6117,7,6117
4181144,2456,0,44237
4538781,64711,0,64711
4264752,40249,0,40249
655826,6558,0,6558
6057706,3626cpr1283,0,16221
4177444,43857,0,43857
4107462,4266,0,4266
4288446,50967,0,50967
4226683,2639,0,2639
4184285,44308,0,44308
6013867,11203,0,11203
6147790,24309,0,24309
6055037,970c03pr0570,4,15769
4595443,973c03h12pr1667,0,76382
4539552,64343,0,64343
6064175,6292,0,6292
4143246,30554b,0,30554
6139104,24193pr0005,0,25352
4589701,31300c03,0,91794
4289839,47332,0,47332
6138217,98286,0,98286
4618269,93554,0,93554
4597232,973c03h02pr1682,0,76382
4519244,60176,0,60176
4169414,42448,0,42448
71155,71155,0,71155
6158054,24154pat0003,0,24154
6174611,4162pr0050,0,29584
4105221,30045,0,30045
4536184,4617b,0,4617
366626,3666,0,3666
4207015,30029,0,30029
6040299,4182,0,4182
4610948,93571,0,93571
4216062,47431,0,47431
6139403,98138,0,98138
4498712,57899,0,57899
370126,3701,0,3701
389426,3894,0,3894
4144025,32531,0,32531
434126,4341,0,4341
4113923,30170,0,30170
4642935,90195,0,90195
4106729,30104,0,30104
4621898,30350b,1,30350
6179847,56823c100,0,31862
4290713,32474,0,32474
4209683,47406,0,47406
4142135,32316,0,32316
281526,2815,0,2815
4254434,51725,14,""
6445491,10104434,9999,""
6170505,98282,0,28579
6057767,973d20pr2575,0,76382
6129595,973c03h02pr3184,0,76382
6254400,90498pr0003,70,49158
427526,4275b,0,4275
6445499,10104437,9999,""
4272943,2345,0,2345
4295432,75c15,0,42690
4522213,973c03h02pr1367,0,76382
4522208,973e100pr1365,0,76382
4530127,973c03h03pr1411,0,76382
4530723,973c03h02pr1416,0,76382
6452530,48092,72,72140
6287858,92456c02pr0320,84,""
6021487,98177pr0002,0,12762
6159567,12897,0,12897
6160241,18827pr0003,0,27973
6009018,64225,0,64225
6161037,25971pr0002,0,28193
6159566,970c03pr1110,0,27473
4597998,3069bpr0114,0,92930
4516414,60909,0,60909
4667555,973c03h01pr1831,0,88585
6158472,973g03c14h27pr3519,0,16360
4218517,47298,0,47298
4144513,30183,0,30183
4180469,43713,0,43713
6160351,973c03h01pr3543,0,88585
4161281,41765,0,41765
4289293,54862,0,54862
4195539,6238,0,6238
4552464,973c03h27pr1508,0,76382
6158280,24319pr3517,0,24319
6160221,973f012pr3535,0,88585
4294669,54034,0,54034
4282916,54068,0,54068
6159604,92290,0,92290
6160242,90388pr0003,0,27974
6141739,92263pr0001,0,25541
4289284,54042,0,54042
6021001,970c03pr0426,0,12718
6164648,41879apr0008,0,28644
4289251,4657,0,4657
6160393,970c03pr1117,0,28108
4612590,42074,0,42074
4289369,55007,0,55007
6160317,26076pr0001,0,27987
6159564,973c03h03pr3529,0,88585
4217795,4131,0,4131
6133722,14719,0,14719
657926,6579,0,6579
4552531,973c34h03pr1512,0,76382
6387870,50745,1,50745
6141950,18969,0,18969
4119324,32173,0,32173
4507542,57894,0,57894
6017976,3626cpr1083,0,11829
4514342,30033,0,30033
4609788,973c03h03pr1513,0,88585
4617848,92409,0,92409
6124610,87574,0,87574
4527983,42061,0,42061
4218524,47302,0,47302
6147050,24201,0,24201
6385361,970c66pr0006,182,""
4173824,4173824,9999,""
6159730,33009pr0001,0,27505
6139318,62812,0,62812
6480271,10107511,9999,""
6427260,10100764Stk1,9999,""
4119328,32174,0,32174
4107783,32034,0,32034
4107767,32014,0,32014
4287672,30088,0,30088
4184286,44309,0,44309
6156991,99563,0,99563
373726,3737,0,3737
6160862,13783,0,13783
615726,6157,0,6157
4217004,47976,0,47976
4593579,90634,0,90634
4180576,43903,0,43903
6265306,27925,72,27925
6041568,973c03h01pr2409,0,88585
6022562,973c03h09pr2241,0,76382
4570176,973c03h12pr1574,0,76382
4658977,72454,0,72454
4539385,64450,0,64450
6134568,3626cpr1840,0,24685
4645088,93168,0,93168
6077729,973c03h14pr2694,0,76382
4630778,973c03h12pr1574,0,88585
4277967,6133,0,6133
6103643,62885,0,62885
4144526,2543,0,2543
4217900,47576,0,47576
6073741,98603s01pr0011,0,17571
4549885,85983pr0001,0,86374
6145439,973e067pr3351,0,88585
6142318,22391,0,22391
608105,6081,19,""
6145661,47407,0,47407
4566781,87839,0,87839
4565616,87791,0,87791
6142179,973c03h03pr3290,0,76382
4581740,64275,0,64275
6024272,75c19,0,76257
6054821,61070,0,61070
4566298,973c03h03pr1543,0,88585
6029228,973c03h03pr2293,0,76382
4558209,60581,0,60581
4524697,973c03h01pr1377,0,76382
4535370,30518,0,30518
6021269,11691pr0002,0,12755
6181550,2431pr0088,0,31908
6145889,973c03h12pr3354,0,76382
384426,3844,0,3844
6020160,970c03pr0422,0,12627
4278015,6046,0,6046
4283701,41897,0,41897
6145307,25264pr0001,0,26068
4210585,30258,0,30258
6023599,84638c01pr1442,0,84638
6073879,62711pr0001,0,17577
4293456,2587pr0015,0,55839
4584769,57575,0,57575
4587171,57564,0,57564
4100573,2594,0,2594
6181538,98138pr0072,0,31906
4651309,2446pr0008,0,99526
6191951,2723pr0002,0,33878
4509865,4285b,0,4285
6179182,25214,0,25214
6452305,10104802,9999,""
4653274,6180pr0003,0,99944
6055426,15618pr0002,0,15831
6143087,44375bpr0001,0,25821
4520576,973c24h02pr1355,0,76382
4597469,973c03h02pr1685,0,76382
6143430,60608,0,""
6039763,973c03h22pr2396,0,76382
6146542,973c03h03pr3359,0,76382
4506602,47507,0,47507
6131571,22889,0,22889
6146579,970c03pr1046,0,26218
6056757,15498,0,15498
6039890,2587pr0031,0,14494
4112108,31171,0,31171
6162892,26603,0,26603
394026,3940b,0,3940
245626,2456,0,2456
4193470,32551,0,32551
6141554,24299,0,24299
6141556,24307,0,24307
4512363,59443,0,59443
4612293,92547pr0005,0,92547
6133200,22888,0,22888
6179181,6192b,0,6192
4662228,57520,0,75903
4508215,30028,0,30028
6186030,3710,326,3710
486526,4865a,0,4865
4194644,44790,0,44790
4535892,47517pr0004,0,47517
4249861,6260,0,6260
444426,4444,0,4444
4651057,973c03h01pr1939,0,76382
6145423,973c03h03pr3350,0,76382
6146510,973c03h02pr3356,0,76382
6142631,970c03pr1019,0,25673
6125717,970c03pr0947,0,23880
6223305,3626cpr9899,78,38193
6145876,3626cpr1907,0,26142
6125682,3626cpr0024,0,23871
4543333,64271pr0001,0,64941
4540656,2545pr0001,0,84625
6263251,92456c01pr0319,78,""
6320054,3830,1,""
6056683,973c03h03pr0811,0,76382
6146705,10908pr0012,0,""
4215341,75723pr0001,0,75723
6028765,6179pr0009,0,13337
4622565,32030,0,32030
4644754,41767,0,41767
4657869,74664,0,74664
4613397,92338,0,92338
4162076,41668,0,41668
343726,3437,0,3437
4652060,98567,0,98567
4593567,90622,0,90622
4584202,973c03h01pr1607,0,76382
4508144,60115,0,60115
4504968,57541,0,57541
4286009,4510,0,4510
4583011,973c03h01pr1589,0,76382
4180518,43721,0,43721
6434391,10103039,9999,""
6030988,4162pr0023,0,13639
4100530,4175,0,4175
6037746,11153,0,11153
4260945,2340,0,2340
6056354,15355,0,15355
4586991,973c27h27pr1646,0,88585
4587898,973c03h03pr1658,0,88585
6033802,973c03h02pr2340,0,76382
4291746,54177,0,54177
4294850,32296,0,32296
6139219,11439pat0003,41,""
4186569,42026,0,42026
6016812,99242,0,99242
4191191,45677,0,45677
4299386,2621,0,2621
4587056,973c03h27pr1649,0,88585
4160349,41768,0,41768
4168685,6405,0,6405
4293087,55706,0,55706
6132595,973c03h12pr3205,0,76382
4596749,973c03h02pr1679,0,76382
6132659,973c03h12pr3206,0,76382
4560174,87082,0,87082
4636280,4489a,0,4489
4162163,40395,0,40395
4546421,61930,0,61930
6034898,47517pr0004,0,47517
4537504,64263pat0001,0,64263
4538972,45117c01,1,86593
6023388,973f021pr2043,0,76382
4595983,47517pr0004,0,47517
4219121,48291,0,48291
4520744,6309pr0068,15,48507
234626,2346,0,2346
4619323,92402,0,92402
6159843,27947,9999,""
6019884,60364apr0001,0,60364
4599499,92593,0,92593
4513216,57915,0,57915
4523639,78c10,0,71949
4609050,92738,0,92738
4506636,41751,0,41751
4278796,2614,0,2614
6092878,88704,0,88704
6009518,11002,0,11002
4516718,30104,0,30104
4526756,62711,0,62711
4597417,92865,0,92865
4587844,88930,0,88930
6138508,3045,31,3045
6147001,87079pr0090,0,26247
600323,6003,1,""
6062522,15038pr0001,0,16618
4544499,41766,0,41766
4297713,30350b,0,30350
4587899,90460,0,90460
4587904,87995,0,87995
6057902,92107,0,92107
4596660,973c03h12pr1670,0,76382
6214882,14769pr0013,297,37001
6023876,3664pr9998,0,13128
6256981,3456,15,3456
4541678,2544,0,2544
6092452,2654pr0001,0,18873
3004626,30046,0,30046
6132951,23924,0,23924
4626184,3626bpr0808,0,96470
4614801,44771,0,44771
6132615,970c03pr0983,0,24416
6132664,970c03pr0984,0,24422
6005299,10555,0,10555
6020564,970c03pr0424,0,12677
4613604,973c03h03pr1727,0,76382
4192716,41670,0,41670
4610036,973c03h12pr1713,0,88585
6045871,973c03h12pr1713,0,88585
6004944,10258,0,10258
4618118,973c01h01pr1759,0,88585
6020819,87556pr0001,0,88103
6038404,85863pr0128,0,14332
6440852,10104052,9999,""
6337283,23443,320,49755
4618117,973c01h01pr1758,0,88585
6043809,973c01h01pr1759,0,88585
4198998,2922,0,2922
6040580,973c12h03pr2425,0,76382
4655228,973c03h03pr1954,0,76382
4654944,92081,0,92081
6008011,970c03pr0379,0,10871
6001896,973c27h01pr2033,0,88585
6001890,973c03h01pr2031,0,88585
4527072,54754pr0001,0,54754
6056854,3626cpr1321,0,16033
6018646,973c03h01pr2194,0,88585
4619407,93217pr0001,0,95247
4512825,30408pr0017,0,60489
6022509,3626cpr1133,0,12868
6029862,973c26h02pr2301,0,76382
6015884,11089,0,11089
6022507,3626cpr1131,0,12866
4508453,40379,0,40379
6037558,14226c11,0,14226
6041725,970c03pr0536,0,14616
4492779,40378,0,40378
6020325,973f014pr2163,0,88585
6031251,970c03pr0489,0,13657
6110046,973f008pr2993,0,76382
4160263,40339,0,40339
4198536,40251,0,40251
6038417,85863pr0116,0,14317
6057363,973c03h03pr0512,0,88585
6023799,970c03pr0439,0,13104
6006052,970c03pr0360,0,10690
6006005,973c03h03pr1904,0,76382
6008796,973c03h14pr2129,0,76382
6005642,973c12h03pr2088,0,76382
6008025,973c03h01pr2115,0,88585
6008015,973c37h18pr2110,0,88585
4153406,40241,0,40241
4508642,40238,0,40238
6016123,973c32h03pr2169,0,76382
300126,3001,0,3001
4153412,40242,0,40242
4155558,40244,0,40244
3004326,30043,0,30043
4172091,41680,0,41680
300826,3008,0,3008
4653049,87609,0,87609
4142816,30488c01,0,76407
6037158,11101pat0001,0,11101
4178322,2587,0,2587
6021512,3069bpr0070,0,42125
4625456,6636pr0009,0,96404
4106513,30103,0,30103
4516020,3184,0,3184
6040054,11164pat0001,0,11164
4652384,30132,0,88419
4617860,3006,0,92538
4157659,40233,0,40233
6080528,973c03h03pr2768,0,76382
6022560,973c03h09pr2239,0,76382
6108553,18895,0,18895
4228161,30094,0,30094
6099809,973c22h03pr2859,0,76382
6146518,90398pr0011,0,26210
4541953,75c29,0,76389
4567999,88516,0,88516
4587893,90463,0,90463
6006043,973c03h03pr2094,0,76382
6011634,4162pr0017,0,11121
6032017,85863pr0102,0,10610
6016706,973c01h01pr2183,0,88585
6020330,973c03h27pr2158,0,88585
6018304,11100,0,11100
4193779,32173,0,32173
383126,3831,0,3831
382026,3820,0,3820
6029944,973c03h27pr2308,0,76382
6035314,973c03h03pr2352,0,76382
6023710,85863pr0052,0,93929
4270676,50602,0,50602
381826,3818,0,3818
4142283,2548,15,""
4296790,50955,0,50955
4205760,3743,0,3743
6057371,973c03h01pr0652,0,88585
6102011,98133pr0016,0,19770
4506838,6131pr0001,0,59652
6005837,3736,0,3736
373026,3730,0,3730
6023418,30367cpr0003,0,55439
6015953,3626cpr1069,0,11500
4141720,32074c02,0,76100
6039194,11215,0,11215
6350508,19723,1103,38000
6000644,3688,0,3688
367526,3675,0,3675
4293457,2587pr0012,0,55831
4528332,14226c31,0,63142
4505756,59228,0,59228
6098888,970c03pr0762,0,19315
6099707,973c01h03pr2847,0,76382
4585582,85863pr0033,0,90866
6102696,973c03h12pr2907,0,76382
4548403,973c03h02pr1463,0,76382
4113267,30135,0,30135
4215149,3039pr0008,0,83708
4529967,973c03h02pr1406,0,76382
6045499,973c03h03pr1658,0,88585
6036556,4162pr0020,0,14152
6100851,19196pr0001,0,19656
6083346,3039pr0018,0,18433
6027996,2397,0,2397
4218890,3046a,0,3046
6101912,973c03h03pr2891,0,76382
6038144,13789pr0001,0,14283
6035141,13361pr0003,0,14048
408126,4081b,0,4081
4501048,3483,0,3483
4541238,2431,19,""
4558692,87408,0,87408
368026,3680,0,3680
4542891,3678bpr0041,0,85231
6029578,32525,0,64290
4247343,30162,0,30162
4114128,30152pat0001,0,30152
4223362,30152pat0003,0,30152
6055879,10190,0,10190
4501046,3641,0,3641
4116854,30099,0,30099
4200023,30165,0,30165
4566955,87837,0,87837
6014652,30381,0,96232
6016279,30381,0,98011
4613936,30173a,0,88420
4299389,56145,0,56145
4242385,50859b,0,50859
6329638,74139,9999,""
6369855,2571,15,35253
4221659,3404,0,3404
6230116,58181,40,35283
4144567,30396,0,30396
4140809,30400,0,30400
6322946,970c03pr9824,0,""
6105926,973c30h03pr2946,0,76382
6043835,973c03h12pr1186,0,88585
4143875,30602,0,30602
4287685,54173,132,55016
6405622,11833,2,28620
4522298,973e035pr1369,0,76382
4612563,75c08,0,60675
4218982,3308,0,3308
4521072,973c19h03pr1358,0,76382
4558850,73590c03a,0,64230
4519925,2339,0,2339
6025264,973c03h03pr2286,0,76382
4195197,3300,0,3300
4167774,30608,0,30608
329826,3298,0,3298
6057397,16091,0,16091
4529549,32555,0,32555
6034969,10066pr0001,0,14033
4189286,78c06,0,71944
6078232,17961,0,17961
4569401,32552,0,32552
4620564,973c03h03pr1727,0,88585
4614226,75c09,0,76324
4547251,61506,0,61506
6016718,92456c01pr0048,78,92456
6048746,6153b,0,6153
4143514,32475,0,32475
6020533,93565pr0003,0,12215
4630140,973c27h01pr1806,0,88585
4630159,970c03pr0238,0,96758
4295417,14226c11,0,56576
4614488,93056pr0004,0,94352
6005430,47759pr0002,0,10508
4500874,47759pr0003,0,58635
4142236,32449,0,32449
6037506,3844,0,3844
4501726,32534,0,32534
4584483,30613,0,30613
4503011,47899c03,0,47899
6028731,6179pr0008,0,13331
6096109,92258,0,18637
6015698,11259pr0001,0,11474
4632571,4081b,0,4081
6029223,87556pr0003,0,13363
4541482,50948,0,50948
4140328,32249,0,32249
6073593,4162pr0033,0,17424
4655659,3626cpr0922,0,73433
6102659,84638c04pr2821,0,84638
4219721,44525,150,""
4612296,92547pr0008,0,92547
4567438,45705,0,59195
6083540,85974pr0004,0,18494
4119020,32180,0,32180
6055143,970c03pr0574,326,15794
6032151,6179pr0004,0,73139
6022290,12550pr0003,0,12846
4121610,32192,0,32192
6056873,3069bpr0008,0,16044
74741,2909c03,0,74741
4624209,93057pr0001,0,96121
4566845,47757,0,47757
4542397,2450,70,""
6044188,3070bpr0076,0,14830
4177434,32498,0,32498
306926,3069b,0,3069
4645732,40490,0,64289
304826,3048c,0,3048
6037390,3007,0,93888
6022424,50944pr0001,0,51719
4177431,32270,0,32270
6032245,973c03h03pr1148,0,76382
6022761,11947,0,11947
6014648,88323,0,88323
6070518,53992,0,13972
6022380,6179pr0001,0,73140
6343976,23443,71,49755
6178294,30956,9999,""
6040374,970c03pr0525,72,14541
6062912,973c03h14pr2542,0,76382
4288814,32146,0,32146
235751,2357,15,""
4114689,32124,0,32124
6083701,970c03pr0740,0,18508
6088638,46667,0,18753
4144536,32084,0,32084
4273590,49668,0,49668
4275674,48092,0,48092
6022464,6179pr0022,0,73142
6022423,6179pr0021,0,73134
6020823,6179pr0020,0,73131
4157670,32535,0,32535
6044210,3070bpr0092,0,14850
4129572,32059,0,32059
6044213,3070bpr0093,0,14853
6044215,3070bpr0094,0,14855
6044228,3070bpr0099,0,14865
4245120,50946,0,50946
4112287,32056,0,32056
6044232,3070bpr0100,0,14866
6055319,973c03h03pr2490,0,76382
6057869,970c03pr0603,0,16272
6062931,93219pr0007,0,16688
4581556,75c24,0,85526
6083698,970c03pr0739,0,18507
6057687,973c03h12pr2544,0,76382
6045860,973c03h26pr2462,0,76382
6017000,11605,0,11605
4296268,75c12,0,60676
4261036,76041c02,0,76041
4503423,32017,0,32017
6080356,15458,0,15458
4290088,3011,73,""
6122656,21445,0,21445
6022447,11602pr0001,0,12864
6102198,31300c03,0,19796
4595981,47517c01pr0001,0,47517
4552413,4868b,0,4868
4234438,32199,0,32199
4289864,57999,0,57999
4107558,32018,0,32018
6023317,30407,42,""
6125770,91968c01,0,91994
6088585,11253,0,18747
4652069,87990,0,87990
6029324,11334,0,11334
6057683,973c03h14pr2539,0,76382
4612482,93575,0,93575
4277774,50947,0,50947
4271120,75c26,0,53475
4299844,75c32,0,57274
4614717,88760c02pr0001,0,93346
4107081,32039,0,32039
4114670,32068,0,32068
4539364,64776pat0001,0,64776
6044160,3070bpr0073,0,14818
4107085,32013,0,32013
6311254,24204,27,65041
4119333,32175,0,32175
4114671,32069,0,32069
4114634,32063,0,32063
4547373,32019,0,32019
6044169,3070bpr0079,0,14821
6044150,3070bpr0063,0,14808
6044163,3070bpr0064,0,14817
6044184,3070bpr0080,0,14827
6044198,3070bpr0082,0,14841
6044206,3070bpr0085,0,14846
6044193,3070bpr0087,0,14837
6040652,11265pr0002,0,14575
4655565,973c03h03pr1961,0,76382
6056326,973c03h03pr2503,0,76382
6124650,3069bpr0153,0,23727
6021752,44675,0,44675
6058096,970c03pr0611,0,16310
317626,3176,0,3176
4551360,30169,0,30169
4248204,32072,0,32072
6056825,55981,0,55981
6055626,15413,0,15413
6093977,18575,0,18575
4296204,44352,0,44352
4652375,92233,0,92233
4188632,4625,15,""
4203849,46277,230,""
4142814,30488,0,30488
4621116,57999,0,57999
4536520,60806,0,60806
4113299,78c02,0,72504
6105963,18980,0,18980
6000155,98592,0,98592
4143751,30541,0,30541
4140215,32358,1067,""
6115182,90498pr0001,0,21176
4506910,78c04,0,59905
4159550,30505,0,30505
4141120,30493,0,30493
4278717,51695,0,51695
6422002,69729pr0017,272,101787
6073113,970c03pr0653,0,17524
4623609,63208pr1786,0,63208
4112864,78c11,0,71986
6115190,90498pr0002,0,21227
4596243,92258,0,92258
6015899,11091,0,11091
4226509,30388,0,30388
4111951,2994,0,2994
4167106,30386,0,30386
4650864,92257,0,92257
4249892,42234,0,42234
4142992,30383,0,30383
6030921,973c27h01pr1192,0,88585
6023586,973c03h03pr1437,0,76382
6020090,58057pr0002,0,58057
4143417,32527,0,32527
4624825,970e03,0,84637
4522653,30171,0,30171
6023470,973c03h03pr2077,0,76382
4533104,973c03h03pr1420,0,76382
4116825,30287,0,30287
4548726,973c03h03pr1469,0,76382
6104403,18976,0,18976
6016943,98101pr0001,0,11781
4113870,30180,0,30180
4297302,53988pat0002,0,55315
6302961,25269,1,25269
6044221,3070bpr0095,0,14857
6008340,30163,0,30163
6107896,90398pr0005,0,20664
4545233,30149,0,30149
4295061,973c03h12,0,76382
4245775,51896b,9999,""
6081356,973c03h01pr2776,0,76382
4143419,32528,0,32528
6022943,3626cpr1150,0,12994
6064966,51289pr0002,179,12113
6094053,73090b,0,73843
6056685,970c03pr0583,0,16015
6019787,95221pr0001,0,12254
4121916,30140,0,30140
6115149,90398pr0009,0,21208
6062783,15424pr0001,0,15841
6319541,69940,9999,""
6082446,3626cpr1510,0,18365
6020192,42446,0,42446
6071289,15372pr0001,0,15372
4508203,51342pat0007,0,51342
6008335,10904,0,10904
4140430,32291,0,32291
4236019,32307,0,32307
4141301,32294,0,32294
4153013,30647,0,30647
6044156,3070bpr0072,0,14815
6044166,3070bpr0074,0,14820
4224500,44036,0,44036
6116487,10169,0,17833
4656122,2614,0,96858
4527063,62698,0,62698
6087083,62698,0,18659
4293532,4150pr0003,0,56075
4143539,32474,0,32474
6102596,18977,0,18977
4632584,90661,0,90661
6022682,970c03pr0433,0,12946
235774,2357,14,""
6079757,973c03h01pr2756,0,76382
6005935,33215,0,10487
6063314,3626cpr1373,0,16742
6044205,3070bpr0091,0,14848
4186769,30027b,0,30027
82339,4444pr0008,0,82339
6108532,10039,0,10039
6052851,11291,0,11291
6025396,75c22,0,62530
6218943,87079pr0157,15,37590
4539146,64263pat0002,0,64263
6381738,4217,15,4217
6293331,52107,191,52107
6420305,10101462,9999,""
6023720,3068bpr0334,0,93954
6062930,15357pr0002,0,16687
6099429,93217,0,93217
6352550,41682,2,41682
6044214,3070bpr0090,0,14852
4622570,95120,0,95120
458927,4589,8,""
4294604,2587pr0019,0,56091
4288259,2951,0,2951
4562379,2950,0,2950
4294605,2587pr0018,0,56090
4260488,50745,0,50745
4668450,973c12h01pr1827,0,88585
4142543,2905,0,2905
6057873,970c03pr0604,0,16273
4143466,32557,0,32557
6060813,90640pr0022,0,16431
4180548,44126,0,44126
6022490,970c03pr0363,0,10738
4142870,2577,0,2577
4234569,47333,46,47333
4633891,2551,0,2551
4216542,30362,0,30362
4111944,78c15,0,71946
6143834,973c03h12pr2188,0,76382
6023532,970c03pr0346,0,10576
6069000,15672,0,15672
4166238,78c05,0,42855
4189116,2462,0,2462
6039347,14413,0,14413
4111942,78c06,0,71944
4586179,90265,0,90265
6044258,3070bpr0102,0,14884
4114744,78c09,0,71917
6064224,15310pr0001,0,16872
4636202,2449,0,2449
244926,2449,0,2449
4508913,2400,0,2400
244126,2441,0,2441
4577217,2437,0,2437
4519909,4623,70,""
4630112,3626bpr0781,0,96743
4533115,973c03h03pr1422,0,76382
6022506,3626cpr1130,0,12865
4569407,87617,0,87617
6035176,3626cpr1206,0,14054
6040100,3626cpr1232,0,14513
4614788,87544,0,87544
4270677,50629,0,50629
6307571,92456c01pr0361,92,""
6313018,60169,42,39763
244426,2444,0,2444
4504382,54200,0,54200
4514341,2516,0,2516
4563474,87745,0,87745
281726,2817,0,2817
4623154,53989,0,58342
6044183,3070bpr0065,0,14829
6044148,3070bpr0067,0,14809
4161403,2488,0,2488
4107182,30035,0,30035
4610045,93225,0,93225
4162982,3069bpr0070,0,42125
4297719,56823c50,0,56823
4294570,30056,0,30056
4490248,2856,0,2856
6017991,3626cpr1084,0,11832
4502834,53992,0,53992
4552006,970c03,320,73200
6129503,93590,15,93590
6152538,973c03h03pr3437,0,76382
6055022,3626cpr1285,0,15759
6099483,18649,0,18649
6323851,11938,14,11938
4513695,14728c200,0,53948
6044216,3070bpr0098,0,14854
6057437,3626cpr1359,0,16112
6069949,15734pr0001,0,17265
4504612,57539,0,57539
6078301,3626cpr1456,0,17981
4175395,3629,0,3629
6152817,3626cpr1960,0,26826
4561467,57539,0,57539
4523640,78c12,0,42692
6055554,15851pat0001,0,15851
4113010,78c18,0,72039
4595837,86208,0,86208
6057727,15976,0,15976
6055778,15617pr0001,0,15830
6086929,92255,0,18639
6064124,16701,0,16701
6070190,17317pr0001,0,17317
6210077,92593,70,92593
6054856,15619,0,15619
4499434,57796,0,57796
6023373,3626cpr0781,0,94683
4533090,57900,0,57900
6103414,973c22h12pr2930,0,76382
6056359,15359,0,15359
6016990,10066pr0002,0,11802
6088489,15303,0,15303
6055632,15265,0,15265
4632330,95327pr0001,0,96642
4140737,3834,0,3834
4612398,970e05,0,93798
6075062,14395,0,14395
387326,3873,0,3873
6020224,3878pr0002,0,12639
4141815,32310,0,32310
4505842,32249,0,32249
4216388,3853,0,3853
6099481,970c03pr0775,0,19367
6025012,12622c03,0,12622
4667814,3960pr0011,0,76631
402526,4025,0,4025
6451740,3049d,14,3049
4494063,54690,0,54690
6510071,1748,0,1748
4298659,3960pr0017,0,57021
4532371,57482,0,57482
6036717,13358,0,13358
6036787,13355,0,13355
6012850,74699,0,74699
4124171,50231,0,22231
4505473,59490pat0001,0,59490
6021616,11908,0,11908
4228193,30517,8,""
4529236,59900,0,59900
6057367,973c03h12pr2515,0,88585
6092585,15573,0,15573
6055382,15616pr0002,0,15827
6039869,13547,0,13547
6051532,15082,0,15082
4143982,3684,0,30499
6075081,3678bpr0045,0,17691
6102341,15395,0,15395
243126,2431,0,2431
6055630,15461,0,15461
6054852,15706,0,15706
370326,3703,0,3703
4569092,3878,0,88412
396226,3962b,0,3962
364126,3641,0,3641
6056379,15367,0,15367
6065496,14716,0,14716
241226,2412b,0,2412
400626,4006,0,4006
4198635,4185,0,4185
6051508,15571,0,15571
6249614,44796,9999,""
6152659,970c03pat28,0,21019
4177239,42908,0,42908
